sep=,
"ID","Title","Created By","Created On","Estimate","Expected Result","Forecast","Goals","Mission","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","Template","Type","Updated By","Updated On"
"C34","כניסה למערכת","Barak Barnovsky","5/10/2022 5:22 PM","","","","","","
משתמשים וסיסמאות תקינים 
הרשאות המשתמשים מוגדרים לפי סוג תפקידם","Medium","","barak","0","","barak","1. הזן שם משתמש וסיסמא תקינים
Expected Result:
כניסה לאזור האישי במערכת וגישה לפונקציות הרלוונטיות בהתאם לתפקיד","","1.","1. כניסה לאזור האישי במערכת וגישה לפונקציות הרלוונטיות בהתאם לתפקיד","1.","1.","1. הזן שם משתמש וסיסמא תקינים","Master","S1","Test Case (Steps)","Security","Barak Barnovsky","5/11/2022 7:48 AM"
"C1","קליטת הזמנה חדשה  - לקוח רגיל","Barak Barnovsky","5/9/2022 7:33 AM","","","","","","שם משתמש וסיסמא תקינים של איש מכירות","High","","barak","0","","barak","1. היכנס למערכת על ידי הקלדת שם משתמש וסיסמא שקיבלתי בתנאי הקדם


Expected Result:
שם משתמש וסיסמא תקינים
2. בתפריט הראשי בחר באפשרות של הזמנות רגילות
Expected Result:
מסך קליטה של הזמנות יופיע בהצלחה","","1. 
2.","1. שם משתמש וסיסמא תקינים
2. מסך קליטה של הזמנות יופיע בהצלחה","1. 
2.","1. 
2.","1. היכנס למערכת על ידי הקלדת שם משתמש וסיסמא שקיבלתי בתנאי הקדם


2. בתפריט הראשי בחר באפשרות של הזמנות רגילות","Master","S1","Test Case (Steps)","Functional","Barak Barnovsky","5/10/2022 8:18 PM"
"C4","עידכון/ביטול פרטי הזמנה-לקוח רגיל","Barak Barnovsky","5/9/2022 7:39 AM","","","","","","שם משתמש וסיסמא תקינים של איש מכירות","High","","barak","0","","barak","1. היכנס למערכת על ידי הקלדת שם משתמש וסיסמא שקיבלתי בתנאי הקדם
Expected Result:
שם משתמש וסיסמא תקינים 
2. במסך בחר באפשרות של עידכון פרטי הזמנה
Expected Result:
עידכון הזמנה יבוצע בהצלחה
3. במסך בחר באפשרות של ביטול פרטי הזמנה
Expected Result:
ביטול הזמנה יבוצע בהצלחה","","1. 
2. 
3.","1. שם משתמש וסיסמא תקינים 
2. עידכון הזמנה יבוצע בהצלחה
3. ביטול הזמנה יבוצע בהצלחה","1. 
2. 
3.","1. 
2. 
3.","1. היכנס למערכת על ידי הקלדת שם משתמש וסיסמא שקיבלתי בתנאי הקדם
2. במסך בחר באפשרות של עידכון פרטי הזמנה
3. במסך בחר באפשרות של ביטול פרטי הזמנה","Master","S1","Test Case (Steps)","Functional","Barak Barnovsky","5/11/2022 5:10 AM"
"C9","הזמנת פריטים אשר נמצאים במאגר-מסך קליטת הזמנות","Barak Barnovsky","5/9/2022 7:42 AM","","","","","","שם משתמש וסיסמא תקינים של איש מכירות
מסך קליטת הזמנות נפתח בהצלחה","Medium","","barak","0","","barak","1. כנס לחלון מסך קליטת הזמנות
Expected Result:
חלון קליטת ההזמנות נפתח בהצלחה
2. לחץ על הזמנה שנקלטה 
Expected Result:
הפריט שהוזמן נבדק מול מאגר הנתונים וזמין במלאי","","1. 
2.","1. חלון קליטת ההזמנות נפתח בהצלחה
2. הפריט שהוזמן נבדק מול מאגר הנתונים וזמין במלאי","1. 
2.","1. 
2.","1. כנס לחלון מסך קליטת הזמנות
2. לחץ על הזמנה שנקלטה","Master","S1","Test Case (Steps)","Other","Barak Barnovsky","5/11/2022 3:18 AM"
"C11","הזמנת פריטים אשר לא נמצאים במאגר-מסך קליטת הזמנות","Barak Barnovsky","5/9/2022 7:43 AM","","","","","","שם משתמש וסיסמא תקינים של איש מכירות
מסך קליטת הזמנות נפתח בהצלחה","High","","barak","0","","barak","1. כנס לחלון מסך קליטת הזמנות
Expected Result:
מסך קליטת ההזמנות נפתח בהצלחה
2. לחץ על הזמנה שנקלטה
Expected Result:
הפריט שהוזמן נבדק מול מאגר הנתונים ולא זמין במלאי","","1. 
2.","1. מסך קליטת ההזמנות נפתח בהצלחה
2. הפריט שהוזמן נבדק מול מאגר הנתונים ולא זמין במלאי","1. 
2.","1. 
2.","1. כנס לחלון מסך קליטת הזמנות
2. לחץ על הזמנה שנקלטה","Master","S1","Test Case (Steps)","Functional","Barak Barnovsky","5/11/2022 3:42 AM"
"C12","הזמנת פריטים אשר חלקם נמצאים במאגר-מסך קליטת הזמנות","Barak Barnovsky","5/9/2022 7:44 AM","","","","","","שם משתמש וסיסמא תקינים של איש מכירות
מסך קליטת הזמנות נפתח בהצלחה","High","","barak","0","","barak","1. כנס לחלון מסך קליטת הזמנות
Expected Result:
מסך קליטת ההזמנות נפתח בהצלחה
2. בחר ממסך קליטת ההזמנות, 3 הזמנות שונות לפחות שלכל הזמנה מעל 5 פריטים בזמנה
Expected Result:

במידה ויותר מפריט אחד אינו נמצא בכמות מספקת, ייקבע תאריך האספקה כתאריך האספקה הבא למלאי","","1. 
2.","1. מסך קליטת ההזמנות נפתח בהצלחה
2. 
במידה ויותר מפריט אחד אינו נמצא בכמות מספקת, ייקבע תאריך האספקה כתאריך האספקה הבא למלאי","1. 
2.","1. 
2.","1. כנס לחלון מסך קליטת הזמנות
2. בחר ממסך קליטת ההזמנות, 3 הזמנות שונות לפחות שלכל הזמנה מעל 5 פריטים בזמנה","Master","S1","Test Case (Steps)","Functional","Barak Barnovsky","5/11/2022 7:08 AM"
"C35","ביצוע של הזמנת פריטים מעורבים אשר תאריך האספקה שלהם יתבצע עפ""י הפריט המאוחר מביניהם","Barak Barnovsky","5/11/2022 3:51 AM","","","","","","שם משתמש וסיסמא תקינים של איש מכירות
הזמנה שמורה כפתוחה","Medium","","barak","0","","barak","1. כנס לחלון מסך קליטת הזמנות
Expected Result:
מסך קליטת ההזמנות נפתח בהצלחה
2. בחר הזמנה בסטטוס שמורה כפתוחה
ונסה לפצל אותה ולספק חלק ממנה
Expected Result:
לא ניתן לספק חלק מההזמנה שבמלאיֿ
תאריך האספקה יהיה תאריך האספקה הבא למלאי (של הפריט) - המאוחר מביניהם","","1. 
2.","1. מסך קליטת ההזמנות נפתח בהצלחה
2. לא ניתן לספק חלק מההזמנה שבמלאיֿ
תאריך האספקה יהיה תאריך האספקה הבא למלאי (של הפריט) - המאוחר מביניהם","1. 
2.","1. 
2.","1. כנס לחלון מסך קליטת הזמנות
2. בחר הזמנה בסטטוס שמורה כפתוחה
ונסה לפצל אותה ולספק חלק ממנה","Master","S1","Test Case (Steps)","Functional","Barak Barnovsky","5/11/2022 4:12 AM"
"C3","הוספת הזמנות עבור לקוח קבוע בסטטוס פעיל","idan shish","5/9/2022 7:37 AM","300s","","300s","","","לקוח קבוע בסטטוס פעיל במערכת
שם משתמש וסיסמה תקינים","High","","Idan","0","","Idan","1. בחירה במסך הראשי באופציה קליטת לקוח קבוע
Expected Result:
מסך קליטת לקוח קבוע יופיע בהצלחה ![](index.php?/attachments/get/d04497d9-2cd0-46ef-8fe8-98cf1506adc8) 
2. הכנס פרטים אישיים של הלקוח הקבוע [ת.ז, שם, כתובת להובלה, כתובת לדואר, מס' כ""א ותוקף] ולחץ על הזמנה למעבר מסך לקליטת הזמנה.
Expected Result:
מסך קליטת הזמנה קבועה תופיע על המסך ![](index.php?/attachments/get/92d09ffc-d607-4667-8001-321ebc20189f) 
3. לחץ על כפתור הזמנה נוספת
Expected Result:
מסך לביצוע הזמנה נוספת תופיע בהצלחה
4. מילוי פרטי הזמנה קבועה נוספת [תיאור, יחידות, תכיפות, ת. אספקה, ת. פקיעה] ולחיצה על אישור קליטה
Expected Result:
יופיע מסך עם אישור ביצוע ההזמנה הנוספת","","1. 
2. 
3. 
4.","1. מסך קליטת לקוח קבוע יופיע בהצלחה ![](index.php?/attachments/get/d04497d9-2cd0-46ef-8fe8-98cf1506adc8) 
2. מסך קליטת הזמנה קבועה תופיע על המסך ![](index.php?/attachments/get/92d09ffc-d607-4667-8001-321ebc20189f) 
3. מסך לביצוע הזמנה נוספת תופיע בהצלחה
4. יופיע מסך עם אישור ביצוע ההזמנה הנוספת","1. 
2. 
3. 
4.","1. 
2. 
3. 
4.","1. בחירה במסך הראשי באופציה קליטת לקוח קבוע
2. הכנס פרטים אישיים של הלקוח הקבוע [ת.ז, שם, כתובת להובלה, כתובת לדואר, מס' כ""א ותוקף] ולחץ על הזמנה למעבר מסך לקליטת הזמנה.
3. לחץ על כפתור הזמנה נוספת
4. מילוי פרטי הזמנה קבועה נוספת [תיאור, יחידות, תכיפות, ת. אספקה, ת. פקיעה] ולחיצה על אישור קליטה","Master","S1","Test Case (Steps)","Functional","idan shish","5/10/2022 2:50 PM"
"C6","עדכון פרטי כרטיס אשראי עבור לקוח קבוע בסטטוס מוקפא","idan shish","5/9/2022 7:40 AM","300s","","300s","","","שם משתמש וסיסמה תקינים
לקוח קבוע בסטטוס מוקפא
כרטיס אשראי תקין","Medium","","Idan","0","","Idan","1. בחר בתפריט הראשי באופציה טיפול בלקוחות קבועים
Expected Result:
ייפתח חלון בהצלחה עם כל האופציות לטיפול בלקוח קבוע
2. בחר באופציה עדכון פרטי לקוח
Expected Result:
ייפתח בהצלחה חלון לעדכון פרטי לקוח קבוע![](index.php?/attachments/get/0e0109f9-5ca8-4530-826e-e2ef15f0c0eb) 
3. עדכון פרטי כ""א [מספר אשראי ותוקף] ולחץ על עדכון בסיום
Expected Result:
יופיע בהצלחה מסך אישור של פרטי הלקוח הקבוע","","1. 
2. 
3.","1. ייפתח חלון בהצלחה עם כל האופציות לטיפול בלקוח קבוע
2. ייפתח בהצלחה חלון לעדכון פרטי לקוח קבוע![](index.php?/attachments/get/0e0109f9-5ca8-4530-826e-e2ef15f0c0eb) 
3. יופיע בהצלחה מסך אישור של פרטי הלקוח הקבוע","1. 
2. 
3.","1. 
2. 
3.","1. בחר בתפריט הראשי באופציה טיפול בלקוחות קבועים
2. בחר באופציה עדכון פרטי לקוח
3. עדכון פרטי כ""א [מספר אשראי ותוקף] ולחץ על עדכון בסיום","Master","S1","Test Case (Steps)","Functional","idan shish","5/10/2022 2:34 PM"
"C7","קליטת פרטי לקוח קבוע","idan shish","5/9/2022 7:41 AM","300s","","300s","","","שם משתמש וסיסמה תקינים
פרטי לקוח קבוע תקינים
פרטי הזמנה קבועה תקינים
כרטיס אשראי תקין","High","","Idan","0","","Idan","1. בחר במסך הראשי באופציה טיפול בלקוחות קבועים
Expected Result:
ייפתח חלון עם כל האפשרויות עבור לקוחות קבועים
2. בחר באופציה קליטת לקוח חדש
Expected Result:
ייפתח בהצלחה חלון לקליטת לקוח קבוע![](index.php?/attachments/get/3d63c9c7-06ba-4890-acbf-d7c88efc66b2)
3. מלא את כל פרטי הלקוח [שם, ת.ז, כתובת להובלה, כתובת דואר, ופרטי כ""א] בסיום לחץ על הזמנה
Expected Result:
ייפתח בהצלחה חלון לקליטת הזמנה קבועה![](index.php?/attachments/get/042f4c61-d90e-450f-b4ba-a105153ff0c8)
4. מלא את פרטי ההזמנה הקבועה[תיאור מוצר, מס' יחידות, תכיפות, ת.פקיעה, ת.אספקה] ובסיום לחץ על אישור קליטה
Expected Result:
ייפתח בהצלחה חלון המאשר את פרטי הלקוח הקבוע והזמנתו הקבועה","","1. 
2. 
3. 
4.","1. ייפתח חלון עם כל האפשרויות עבור לקוחות קבועים
2. ייפתח בהצלחה חלון לקליטת לקוח קבוע![](index.php?/attachments/get/3d63c9c7-06ba-4890-acbf-d7c88efc66b2)
3. ייפתח בהצלחה חלון לקליטת הזמנה קבועה![](index.php?/attachments/get/042f4c61-d90e-450f-b4ba-a105153ff0c8)
4. ייפתח בהצלחה חלון המאשר את פרטי הלקוח הקבוע והזמנתו הקבועה","1. 
2. 
3. 
4.","1. 
2. 
3. 
4.","1. בחר במסך הראשי באופציה טיפול בלקוחות קבועים
2. בחר באופציה קליטת לקוח חדש
3. מלא את כל פרטי הלקוח [שם, ת.ז, כתובת להובלה, כתובת דואר, ופרטי כ""א] בסיום לחץ על הזמנה
4. מלא את פרטי ההזמנה הקבועה[תיאור מוצר, מס' יחידות, תכיפות, ת.פקיעה, ת.אספקה] ובסיום לחץ על אישור קליטה","Master","S1","Test Case (Steps)","Functional","idan shish","5/10/2022 2:48 PM"
